# OFAC SDN list — name	program
# source: https://www.treasury.gov/ofac/downloads/sdn.csv (US Treasury, public domain)
# fetched: 2026-09-24
# refresh: node scripts/fetch-reference.ts
PUMA SECURITY COMPANY	BALKANS
RADIC, Miroslav	BALKANS
RADIC, Mlado	BALKANS
RAJIC, Ivica	BALKANS
RASEVIC, Mitar	BALKANS
REXHEPI, Daut	BALKANS
ROGULJIC, Slavko	BALKANS
SAHINPASIC, Senad	BALKANS
SAINOVIC, Nikola	BALKANS
SAMIU, Izair	BALKANS
SELIMI, Rexhep	BALKANS
SESELJ, Vojislav	BALKANS
SHAQIRI, Shaqir	BALKANS
SIKIRICA, Dusko	BALKANS
SIMATOVIC, Franko	BALKANS
SIMIC, Blagoje	BALKANS
SIMIC, Milan	BALKANS
SLJIVANCANIN, Veselin	BALKANS
SOPTA, Stanko	BALKANS
STAKIC, Milomir	BALKANS
STANISIC, Jovica	BALKANS
STANKOVIC, Radovan	BALKANS
STEPANOVIC, Novak	BALKANS
SUMA, Emrush	BALKANS
SYLA, Azem	BALKANS
TADIC, Dusan	BALKANS
TADIC, Miroslav	BALKANS
TODOVIC, Savo	BALKANS
UKSINI, Sami	BALKANS
VASILJEVIC, Mitar	BALKANS
VUKOVIC, Zoran	BALKANS
XHAFERI, Shefit	BALKANS
XHEMAJLI, Emrush	BALKANS
XHEMAJLI, Muhamet	BALKANS
ZARIC, Simo	BALKANS
ZELEN-KARADZIC, Ljiljana	BALKANS
ZIGIC, Zoran	BALKANS
ZUPLJANIN, Stojan	BALKANS
DIAS DE MENDONCA, Leonardo	SDNTK
ESPARRAGOZA MORENO, Juan Jose	SDNTK
PALMA SALAZAR, Hector Luis	SDNTK
QUINTERO MERAZ, Jose Albino	SDNTK
UNITED WA STATE ARMY	SDNTK
ABDAOUI, Youssef	SDGT
AKLI, Mohamed Amine	SDGT
AMDOUNI, Mehrez	SDGT
AYARI, Chiheb Ben Mohamed	SDGT
BAAZAOUI, Mondher	SDGT
DUMONT, Lionel	SDGT
ESSAADI, Moussa Ben Amor Ben Ali	SDGT
FETTAR, Rachid	SDGT
HAMAMI, Brahim Ben Hedili Ben Mohamed	SDGT
JARRAYA, Khalil	SDGT
JENDOUBI, Faouzi Ben Mohamed Ben Ahmed	SDGT
MNASRI, Fethi Ben Rebai Ben Absha	SDGT
OUAZ, Najib	SDGT
RARRBO, Ahmed Hosni	SDGT
SALEH, Nedal	SDGT
MZOUDI, Abdelghani	SDGT
AL-TIKRITI, Saddam Hussein	IRAQ2
AL-TIKRITI, Qusay Saddam Hussein	IRAQ2
AL-TIKRITI, Uday Saddam Hussein	IRAQ2
AL-TIKRITI, Abid Hamid Mahmud	IRAQ2
AL-TIKRITI, Ali Hassan al-Majid	IRAQ2
AL-DURI, Izzat Ibrahim	IRAQ2
AL-TIKRITI, Hani abd-al-Latif Tilfah	IRAQ2
AL-NUMAN, Aziz Salih	IRAQ2
ZUBAIDI, Muhammad Hamza	IRAQ2
AL-TIKRITI, Kamal Mustafa Sultan Abdallah	IRAQ2
AL-TIKRITI, Barzan abd al-Ghafur Sulaiman Majid	IRAQ2
AL-TIKRITI, Muzahim Sa'b Hassan	IRAQ2
AL-TIKRITI, Ibrahim Ahmad abd al-Sattar Muhammed	IRAQ2
AL-RAWI, Saif-al-Din Fulayyih Hassan Taha	IRAQ2
AL-TIKRITI, Rafi abd-al-Latif Tilfah	IRAQ2
AL-TIKRITI, Tahir Jalil Habbush	IRAQ2
AL-TIKRITI, Hamid Raja Shalah	IRAQ2
AL-DULAYMI, Latif Nusayyif Jasim	IRAQ2
HUWAYSH, Abd-al-Tawab Mullah	IRAQ2
AL-JIZRAWI, Taha Yassin Ramadan	IRAQ2
AL-TIKRITI, Rukan Razuki abd-al-Ghafur Sulaiman	IRAQ2
AL-TIKRITI, Jamal Mustafa Abdallah Sultan	IRAQ2
HADI, Mizban Khadr	IRAQ2
MA'RUF, Taha Muhyi-al-Din	IRAQ2
AZIZ, Tariq	IRAQ2
AL-TIKRITI, Walid Hamid Tawfiq	IRAQ2
AL-TAI, Sultan Hashim Ahmad	IRAQ2
AL-AZZAWI, Hikmat Mizban Ibrahim	IRAQ2
AL-AHMAD, Mahmud Dhiyab	IRAQ2
AL-RAWI, Ayad Futayyih Khalifa	IRAQ2
AL-NAQIB, Zuhair Talib abd-al-Sattar	IRAQ2
AL-SA'DI, Amir Hamudi Hassan	IRAQ2
AL-UBAIDI, Amir Rashid Muhammad	IRAQ2
AL-YASSIN, Husam Muhammad Amin	IRAQ2
AL-TIKRITI, Sab'awi Ibrahim Hassan	IRAQ2
AL-TIKRITI, Watban Ibrahim Hassan	IRAQ2
AL-TIKRITI, Barzan Ibrahim Hassan	IRAQ2
AMMASH, Huda Salih Mahdi	IRAQ2
AL-SAD'UN, Abd-al-Baqi abd-al-Karim Abdallah	IRAQ2
AL-SA'DUN, Muhammad Zimam abd-al-Razzaq	IRAQ2
AL-NAJIM, Samir abd al-Aziz	IRAQ2
ABD-AL-GHAFUR, Humam abd-al-Khaliq	IRAQ2
AL-UBAIDI, Yahia Abdallah	IRAQ2
GHALIB, Nayif Shindakh Thamir	IRAQ2
AL-MASHHADANI, Saif-al-Din	IRAQ2
GHARIB, Fadil Mahmud	IRAQ2
AL-KHAFAJI, Muhsin Khadr	IRAQ2
KAZIM, Rashid Taan	IRAQ2
AL-KUBAYSI, Ugla Abid Saqar	IRAQ2
AL-UBAIDI, Ghazi Hammud	IRAQ2
MAHDI, Adil Abdallah	IRAQ2
AL-AWADI, Hussein Qaid	IRAQ2
AL-MUHAMMAD, Khamis Sirhan	IRAQ2
AL-TIKRITI, Sa'd abd-al-Majid al-Faysal	IRAQ2
SPASOJEVIC, Dragon	BALKANS
VASIC, Dragomir	BALKANS
ASSOCIATION DE SECOURS PALESTINIENS	SDGT
AL-ALAMI, Imad Khalil	SDGT
HAMDAN, Usama	SDGT
MISHAAL, Khalid	SDGT
RANTISI, Abdel Aziz	SDGT
COMITE' DE BIENFAISANCE ET DE SECOURS AUX PALESTINIENS	SDGT
INTERPAL	SDGT
PALESTINIAN ASSOCIATION IN AUSTRIA	SDGT
SANABIL ASSOCIATION FOR RELIEF AND DEVELOPMENT	SDGT
DWIKARNA, Agus	SDGT
JULKIPLI, Salim Y Salamuddin	SDGT
MUNANDAR, Aris	SDGT
